assetId,profileId,gender,shotType,qaStatus,localPath,approvedPath,rejectedPath,finalPath,width,height,fileBytes,semanticReviewRequired,error,reasonCodes,updatedAt
female_001__vibe_card__v001,female_001,female,vibe_card,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_001__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_001__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_001__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/vibe_card.png,1024,1536,2443230,True,,[],2026-05-12T21:17:21+00:00
female_002__vibe_card__v001,female_002,female,vibe_card,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_002__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_002__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_002__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/vibe_card.png,972,1619,2021924,True,,[],2026-05-12T21:17:21+00:00
female_003__vibe_card__v001,female_003,female,vibe_card,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_003__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_003__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_003__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/003/vibe_card.png,1023,1537,2578126,True,,[],2026-05-12T21:17:21+00:00
female_004__vibe_card__v001,female_004,female,vibe_card,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_004__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_004__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_004__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/004/vibe_card.png,1024,1536,2366629,True,,[],2026-05-12T21:17:21+00:00
female_005__vibe_card__v001,female_005,female,vibe_card,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_005__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_005__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_005__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/005/vibe_card.png,0,0,0,True,missing_image,"[""missing_image""]",2026-05-12T21:17:21+00:00
female_006__vibe_card__v001,female_006,female,vibe_card,file_rejected,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_006__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_006__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_006__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/006/vibe_card.png,1536,1024,2375784,True,bad_aspect_ratio,"[""bad_aspect_ratio""]",2026-05-12T21:17:21+00:00
female_007__vibe_card__v001,female_007,female,vibe_card,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_007__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_007__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_007__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/007/vibe_card.png,1086,1448,2106393,True,,[],2026-05-12T21:17:21+00:00
female_008__vibe_card__v001,female_008,female,vibe_card,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_008__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_008__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_008__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/008/vibe_card.png,1024,1536,2236946,True,,[],2026-05-12T21:17:21+00:00
female_009__vibe_card__v001,female_009,female,vibe_card,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_009__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_009__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_009__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/009/vibe_card.png,1023,1537,2172822,True,,[],2026-05-12T21:17:21+00:00
female_010__vibe_card__v001,female_010,female,vibe_card,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_010__vibe_card__v001__attempt02.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_010__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_010__vibe_card__v001__attempt02.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/010/vibe_card.png,1024,1536,2420073,True,,[],2026-05-12T21:17:21+00:00
