assetId,profileId,gender,numericId,identityScope,isReserve,reserveStatus,activeForTarget,identityDecision,shotType,targetFaceType,targetLooksLevel,targetLooksLevelBand,status,localPath,finalPath,approvedPath,rejectedPath,expectedRawPath,expectedFinalPath,expectedApprovedPath,expectedRejectedPath,storagePath,legacyStoragePath,model,size,quality,outputFormat,promptHash,referenceAssetId,referenceLocalPath,resolvedReferencePath,attempt,attemptCount,dryRun,updatedAt,error
female_001__face_card__v001,female_001,female,,production,False,,True,rejected,face_card,,,,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_001__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_001__face_card__v001__attempt03.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_001__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_001__face_card__v001__attempt03.png,ai_profiles/female/001/face_card.png,ai_profiles/female/001.png,codex-built-in-imagegen,1024x1536,high,png,abcc029d6a8a396abbc8dfe1,,,,3,3,False,2026-05-10T15:46:19+00:00,Integrity passed; active visual QA still required.
female_001__silhouette_card__v001,female_001,female,,production,False,,True,,silhouette_card,,,,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_001__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_001__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_001__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_001__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_001__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_001__silhouette_card__v001__attempt01.png,ai_profiles/female/001/silhouette_card.png,ai_profiles/female/001.png,codex-built-in-imagegen,1024x1536,high,png,2e5e11e1be89d8358772b822,female_001__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/face_card.png,,0,False,2026-05-10T12:28:47+00:00,missing_image
female_001__vibe_card__v001,female_001,female,,production,False,,True,,vibe_card,,,,prepared,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_001__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_001__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_001__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_001__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_001__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_001__vibe_card__v001__attempt01.png,ai_profiles/female/001/vibe_card.png,ai_profiles/female/001.png,codex-built-in-imagegen,1024x1536,high,png,edd49077769ba47d9497e5aa,female_001__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/face_card.png,,0,False,2026-05-06T23:01:10+00:00,
female_002__face_card__v001,female_002,female,,production,False,,True,,face_card,,,,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_002__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_002__face_card__v001__attempt03.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_002__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_002__face_card__v001__attempt03.png,ai_profiles/female/002/face_card.png,ai_profiles/female/002.png,codex-built-in-imagegen,1024x1536,high,png,0b7f9ba28e40debbc07512e4,,,,3,3,False,2026-05-10T15:46:21+00:00,Integrity passed; active visual QA still required.
female_002__silhouette_card__v001,female_002,female,,production,False,,True,,silhouette_card,,,,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_002__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_002__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_002__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_002__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_002__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_002__silhouette_card__v001__attempt01.png,ai_profiles/female/002/silhouette_card.png,ai_profiles/female/002.png,codex-built-in-imagegen,1024x1536,high,png,48a376496b92d81df01a4f88,female_002__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/face_card.png,,0,False,2026-05-10T12:28:47+00:00,missing_image
female_002__vibe_card__v001,female_002,female,,production,False,,True,,vibe_card,,,,prepared,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_002__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_002__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_002__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_002__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_002__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_002__vibe_card__v001__attempt01.png,ai_profiles/female/002/vibe_card.png,ai_profiles/female/002.png,codex-built-in-imagegen,1024x1536,high,png,7e460ab9c93aba9bd8c2f926,female_002__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/face_card.png,,0,False,2026-05-06T23:01:10+00:00,
female_003__face_card__v001,female_003,female,,production,False,,True,,face_card,,,,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_003__face_card__v001__attempt02.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/003/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_003__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_003__face_card__v001__attempt02.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_003__face_card__v001__attempt02.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/003/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_003__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_003__face_card__v001__attempt02.png,ai_profiles/female/003/face_card.png,ai_profiles/female/003.png,codex-built-in-imagegen,1024x1536,high,png,7fa020a9e3504ed5b5c5c3ba,,,,2,2,False,2026-05-10T15:46:23+00:00,Integrity passed; active visual QA still required.
female_003__silhouette_card__v001,female_003,female,,production,False,,True,,silhouette_card,,,,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_003__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/003/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_003__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_003__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_003__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/003/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_003__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_003__silhouette_card__v001__attempt01.png,ai_profiles/female/003/silhouette_card.png,ai_profiles/female/003.png,codex-built-in-imagegen,1024x1536,high,png,879527faf0ac7de8b7125843,female_003__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/003/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/003/face_card.png,1,1,False,2026-05-10T15:46:25+00:00,Integrity passed; active visual QA still required.
female_003__vibe_card__v001,female_003,female,,production,False,,True,,vibe_card,,,,prepared,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_003__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/003/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_003__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_003__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_003__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/003/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_003__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_003__vibe_card__v001__attempt01.png,ai_profiles/female/003/vibe_card.png,ai_profiles/female/003.png,codex-built-in-imagegen,1024x1536,high,png,4db9c617874942d54a0cf046,female_003__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/003/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/003/face_card.png,,0,False,2026-05-06T23:01:10+00:00,
female_004__face_card__v001,female_004,female,,production,False,,True,,face_card,,,,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_004__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/004/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_004__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_004__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_004__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/004/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_004__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_004__face_card__v001__attempt01.png,ai_profiles/female/004/face_card.png,ai_profiles/female/004.png,codex-built-in-imagegen,1024x1536,high,png,99731c5c2dea8e39101a8048,,,,1,1,False,2026-05-10T15:46:27+00:00,Integrity passed; active visual QA still required.
