profileId,faceAssetId,silhouetteAssetId,vibeAssetId,faceToSilhouetteConsistency,faceToVibeConsistency,completeIdentityDecision,failedShotTypes,reasons,updatedAt
female_001,female_001__face_card__v001,female_001__silhouette_card__v001,female_001__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
female_002,female_002__face_card__v001,female_002__silhouette_card__v001,female_002__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
female_003,female_003__face_card__v001,female_003__silhouette_card__v001,female_003__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
female_004,female_004__face_card__v001,female_004__silhouette_card__v001,female_004__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
female_005,female_005__face_card__v001,female_005__silhouette_card__v001,female_005__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
female_006,female_006__face_card__v001,female_006__silhouette_card__v001,female_006__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
female_007,female_007__face_card__v001,female_007__silhouette_card__v001,female_007__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
female_008,female_008__face_card__v001,female_008__silhouette_card__v001,female_008__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
female_009,female_009__face_card__v001,female_009__silhouette_card__v001,female_009__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
female_010,female_010__face_card__v001,female_010__silhouette_card__v001,female_010__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
female_011,female_011__face_card__v001,female_011__silhouette_card__v001,female_011__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
female_012,female_012__face_card__v001,female_012__silhouette_card__v001,female_012__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
male_001,male_001__face_card__v001,male_001__silhouette_card__v001,male_001__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
male_002,male_002__face_card__v001,male_002__silhouette_card__v001,male_002__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
male_003,male_003__face_card__v001,male_003__silhouette_card__v001,male_003__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
male_004,male_004__face_card__v001,male_004__silhouette_card__v001,male_004__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
male_005,male_005__face_card__v001,male_005__silhouette_card__v001,male_005__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
male_006,male_006__face_card__v001,male_006__silhouette_card__v001,male_006__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
male_007,male_007__face_card__v001,male_007__silhouette_card__v001,male_007__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
male_008,male_008__face_card__v001,male_008__silhouette_card__v001,male_008__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
male_009,male_009__face_card__v001,male_009__silhouette_card__v001,male_009__vibe_card__v001,0,0,needs_retry,"[""face_card"", ""silhouette_card"", ""vibe_card""]","[""missing_image:face_card"", ""missing_image:silhouette_card"", ""missing_image:vibe_card""]",2026-05-06T17:04:38+00:00
