assetId,profileId,gender,shotType,qaStatus,localPath,approvedPath,rejectedPath,finalPath,width,height,fileBytes,semanticReviewRequired,error,reasonCodes,updatedAt
female_001__silhouette_card__v001,female_001,female,silhouette_card,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_001__silhouette_card__v001__attempt02.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_001__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_001__silhouette_card__v001__attempt02.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/001/silhouette_card.png,1023,1537,2472210,True,,[],2026-05-12T17:04:17+00:00
female_002__silhouette_card__v001,female_002,female,silhouette_card,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_002__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_002__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_002__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/002/silhouette_card.png,941,1672,2938107,True,,[],2026-05-12T17:04:17+00:00
female_003__silhouette_card__v001,female_003,female,silhouette_card,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_003__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_003__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_003__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/003/silhouette_card.png,941,1672,2814894,True,,[],2026-05-12T17:04:17+00:00
female_004__silhouette_card__v001,female_004,female,silhouette_card,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_004__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_004__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_004__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/004/silhouette_card.png,0,0,0,True,missing_image,"[""missing_image""]",2026-05-12T17:04:17+00:00
female_005__silhouette_card__v001,female_005,female,silhouette_card,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_005__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_005__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_005__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/005/silhouette_card.png,0,0,0,True,missing_image,"[""missing_image""]",2026-05-12T17:04:17+00:00
female_006__silhouette_card__v001,female_006,female,silhouette_card,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_006__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_006__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_006__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/006/silhouette_card.png,0,0,0,True,missing_image,"[""missing_image""]",2026-05-12T17:04:17+00:00
female_007__silhouette_card__v001,female_007,female,silhouette_card,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_007__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_007__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_007__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/007/silhouette_card.png,0,0,0,True,missing_image,"[""missing_image""]",2026-05-12T17:04:17+00:00
female_008__silhouette_card__v001,female_008,female,silhouette_card,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_008__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_008__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_008__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/008/silhouette_card.png,941,1672,2651106,True,,[],2026-05-12T17:04:17+00:00
female_009__silhouette_card__v001,female_009,female,silhouette_card,file_rejected,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_009__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_009__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_009__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/009/silhouette_card.png,862,1824,2579123,True,bad_aspect_ratio,"[""bad_aspect_ratio""]",2026-05-12T17:04:17+00:00
female_010__silhouette_card__v001,female_010,female,silhouette_card,file_needs_review,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/female_010__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/female_010__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/female_010__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/female/010/silhouette_card.png,1024,1536,2578065,True,,[],2026-05-12T17:04:17+00:00
