assetId,profileId,shotType,shotTypeValid,imageExists,decision,reasons,updatedAt
female_001__face_card__v001,female_001,face_card,True,True,needs_review,"[""visual_shot_type_readability_checked_by_vision_qa""]",2026-05-07T06:51:55+00:00
female_001__silhouette_card__v001,female_001,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_001__vibe_card__v001,female_001,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_002__face_card__v001,female_002,face_card,True,True,needs_review,"[""visual_shot_type_readability_checked_by_vision_qa""]",2026-05-07T06:51:55+00:00
female_002__silhouette_card__v001,female_002,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_002__vibe_card__v001,female_002,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_003__face_card__v001,female_003,face_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_003__silhouette_card__v001,female_003,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_003__vibe_card__v001,female_003,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_004__face_card__v001,female_004,face_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_004__silhouette_card__v001,female_004,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_004__vibe_card__v001,female_004,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_005__face_card__v001,female_005,face_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_005__silhouette_card__v001,female_005,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_005__vibe_card__v001,female_005,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_006__face_card__v001,female_006,face_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_006__silhouette_card__v001,female_006,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_006__vibe_card__v001,female_006,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_007__face_card__v001,female_007,face_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_007__silhouette_card__v001,female_007,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_007__vibe_card__v001,female_007,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_008__face_card__v001,female_008,face_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_008__silhouette_card__v001,female_008,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_008__vibe_card__v001,female_008,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_009__face_card__v001,female_009,face_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_009__silhouette_card__v001,female_009,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_009__vibe_card__v001,female_009,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_010__face_card__v001,female_010,face_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_010__silhouette_card__v001,female_010,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_010__vibe_card__v001,female_010,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_011__face_card__v001,female_011,face_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_011__silhouette_card__v001,female_011,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_011__vibe_card__v001,female_011,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_012__face_card__v001,female_012,face_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_012__silhouette_card__v001,female_012,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_012__vibe_card__v001,female_012,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_013__face_card__v001,female_013,face_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_013__silhouette_card__v001,female_013,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_013__vibe_card__v001,female_013,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_014__face_card__v001,female_014,face_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_014__silhouette_card__v001,female_014,silhouette_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_014__vibe_card__v001,female_014,vibe_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
female_015__face_card__v001,female_015,face_card,True,False,needs_review,"[""missing_image_for_shot_type_review""]",2026-05-07T06:51:55+00:00
