assetId,profileId,shotType,adultVisual,photoRealism,campusRealism,brandFit,influencerRisk,childlikeRisk,schoolUniformRisk,sexualizationRisk,artifactRisk,shotTypeReadable,decision,reasons
female_001__face_card__v001,female_001,face_card,False,0,0,0,0,0,0,0,5,False,rejected,"[""adultVisual_false"", ""artifactRisk>=3"", ""brandFit<4"", ""missing_image"", ""photoRealism<4"", ""shotTypeReadable_false""]"
female_002__face_card__v001,female_002,face_card,False,0,0,0,0,0,0,0,5,False,rejected,"[""adultVisual_false"", ""artifactRisk>=3"", ""brandFit<4"", ""missing_image"", ""photoRealism<4"", ""shotTypeReadable_false""]"
female_003__face_card__v001,female_003,face_card,False,0,0,0,0,0,0,0,5,False,rejected,"[""adultVisual_false"", ""artifactRisk>=3"", ""brandFit<4"", ""missing_image"", ""photoRealism<4"", ""shotTypeReadable_false""]"
female_004__face_card__v001,female_004,face_card,False,0,0,0,0,0,0,0,5,False,rejected,"[""adultVisual_false"", ""artifactRisk>=3"", ""brandFit<4"", ""missing_image"", ""photoRealism<4"", ""shotTypeReadable_false""]"
female_005__face_card__v001,female_005,face_card,False,0,0,0,0,0,0,0,5,False,rejected,"[""adultVisual_false"", ""artifactRisk>=3"", ""brandFit<4"", ""missing_image"", ""photoRealism<4"", ""shotTypeReadable_false""]"
female_006__face_card__v001,female_006,face_card,False,0,0,0,0,0,0,0,5,False,rejected,"[""adultVisual_false"", ""artifactRisk>=3"", ""brandFit<4"", ""missing_image"", ""photoRealism<4"", ""shotTypeReadable_false""]"
female_007__face_card__v001,female_007,face_card,False,0,0,0,0,0,0,0,5,False,rejected,"[""adultVisual_false"", ""artifactRisk>=3"", ""brandFit<4"", ""missing_image"", ""photoRealism<4"", ""shotTypeReadable_false""]"
female_008__face_card__v001,female_008,face_card,False,0,0,0,0,0,0,0,5,False,rejected,"[""adultVisual_false"", ""artifactRisk>=3"", ""brandFit<4"", ""missing_image"", ""photoRealism<4"", ""shotTypeReadable_false""]"
female_009__face_card__v001,female_009,face_card,False,0,0,0,0,0,0,0,5,False,rejected,"[""adultVisual_false"", ""artifactRisk>=3"", ""brandFit<4"", ""missing_image"", ""photoRealism<4"", ""shotTypeReadable_false""]"
female_010__face_card__v001,female_010,face_card,False,0,0,0,0,0,0,0,5,False,rejected,"[""adultVisual_false"", ""artifactRisk>=3"", ""brandFit<4"", ""missing_image"", ""photoRealism<4"", ""shotTypeReadable_false""]"
